Title,Description,Last Updated,Tag
What the world thought of US debate,"How the Harris-Trump debate was seen from Putin's Kremlin, Ukraine's frontlines and Taliban-run Afghanistan.",2 hrs ago,US & Canada
"Eating pets, inflation, abortion - key debate claims fact-checked",BBC Verify has been examining Trump and Harris's claims in their first head-to-head debate in the US election campaign.,11 hrs ago,US & Canada
Self-medicating gorillas may hold new drugs clues,"Plants eaten by wild gorillas have medicinal properties that could be harnessed in drug discovery, say scientists.",2 hrs ago,Africa
Dolphins quarterback feels Hill incident ‘not done the right way’,Miami's Tua Tagovailoa gives his opinion on the detaining of Tyreek Hill before their NFL season opener.,10 hrs ago,American Football
Louisiana braces as Hurricane Francine barrels in,State orders evacuations and closes schools as it prepares for hurricane's landfall on Wednesday as a Category 2 storm.,3 hrs ago,US & Canada
"Eating pets, inflation, abortion - key debate claims fact-checked",BBC Verify has been examining Trump and Harris's claims in their first head-to-head debate in the US election campaign.,11 hrs ago,US & Canada
Who won the Harris-Trump presidential debate?,"Trump couldn't resist Harris's personal digs at the debate which threw him off message, writes Anthony Zurcher.",14 hrs ago,US & Canada
Iran sending missiles to Russia changes Ukraine debate - Lammy,"On a visit to Kyiv, the UK foreign secretary said the UK would provide £600m in aid to Ukraine.",1 hr ago,World
US man arrested for allegedly sparking  California's Line Fire,"The Line Fire, about 60 miles east of LA, and two others have burned more than 100,000 acres combined.",2 hrs ago,US & Canada
Self-medicating gorillas may hold new drugs clues,"Plants eaten by wild gorillas have medicinal properties that could be harnessed in drug discovery, say scientists.",2 hrs ago,Africa
Watch key moments from Harris-Trump clash,"The pair had a feisty first meeting, sharing personal insults and criticisms over policy.",13 hrs ago,US & Canada
Undecided Americans impressed by Harris - but did debate shift their votes?,We spoke to seven voters who see the debate as crucial in determining who they will support in November.,3 hrs ago,US & Canada
US voters weigh in on debate performance,"After the 90 minute debate, people share their thoughts on the candidate performances.",2 hrs ago,US & Canada
